organization,project_name,project_number,project_item_id,item_type,repo,issue_pr_number,task_title,task_description,assignees,assigned_by,status,priority,labels,milestone,iteration,due_date,created_at,updated_at,url
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf2RvE,Issue,Depart,,No proper UI response observed on the sign-in and sign-up screens.,"Steps to Reproduce:
Log in to the platform using the  account.

Actual Result:
In the application, there is no proper UI response on the sign-in and sign-up screens.

Expected Result:
The sign-in and sign-up screens should display and respond properly.

![Image](https://github.com/user-attachments/assets/34522517-c98a-4708-b3f1-ea53d5c7db4e)
![Image](https://github.com/user-attachments/assets/ad020566-5ef1-4b12-9b41-d013447f9dc3)",Roopesh618,suruthisagar97,,,bug,,,,2025-10-14 07:18:28+00:00,2025-10-14 07:18:28+00:00,https://github.com/CodeWork-ai/Depart/issues/16
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf20UA,Issue,Depart,,Wrong pop-up message shown on Login without details,"Steps to Reproduce:
Sing in and Signup to the platform using the  account.

Actual Result:
Without providing any details and clicking the Login button, it shows the wrong pop-up message.

Expected Result:
A proper validation message should appear, prompting the user to enter the required details before logging in.

![Image](https://github.com/user-attachments/assets/685f0b6a-1856-4571-b2c2-3ed51a11830a)

![Image](https://github.com/user-attachments/assets/9538caf2-86fa-45ad-aded-cf76e7381760)",Roopesh618,suruthisagar97,,,bug,,,,2025-10-14 10:06:55+00:00,2025-10-14 10:15:17+00:00,https://github.com/CodeWork-ai/Depart/issues/17
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf2510,Issue,Depart,,Register button spins too long; no proper message for duplicate email,"Steps to Reproduce:
Signup to the platform using the  account.

Actual Result:
When providing the same email and clicking the Register button, a wrong pop-up message is displayed, and the Register button keeps loading for too long.

Expected Result:
A proper validation message should be displayed indicating that the email is already registered, and the Register button should stop loading immediately.

https://github.com/user-attachments/assets/bd70f2d6-b537-40be-ba4b-cfa3c1b096e4",Roopesh618,suruthisagar97,,,bug,,,,2025-10-14 10:37:17+00:00,2025-10-14 10:37:17+00:00,https://github.com/CodeWork-ai/Depart/issues/18
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf27JI,Issue,Depart,,Email and password auto-filled on Login screen after Signup,"Steps to Reproduce:
Signup to the platform using the  account.

Actual Result:
When providing the email and password on the Signup screen, the same email and password are automatically shown on the Login screen.

Expected Result:
The email and password fields on the Login screen should be blank after completing the signup process. User credentials should not be pre-filled automatically.

https://github.com/user-attachments/assets/bc03fbc6-c91b-4ebc-9b91-fc82f71da5c6",Roopesh618,suruthisagar97,,,bug,,,,2025-10-14 10:45:21+00:00,2025-10-14 10:45:21+00:00,https://github.com/CodeWork-ai/Depart/issues/19
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf5chU,Issue,Depart,,Send OTP button not working after entering valid phone number on verification screen,"Steps to Reproduce:
Sign up to the platform using the  account.
Click on Register

Actual Result:
After completing KYC, on the phone number verification screen, the “Send OTP” button is not working after entering a valid number. A pop-up message is displayed.

Expected Result:
After entering a valid phone number and clicking the Send OTP button, an OTP should be sent successfully to the entered number, and a confirmation message should be displayed.

https://github.com/user-attachments/assets/cf72dc71-c951-4a17-a9cd-fce319498bb8",Roopesh618,suruthisagar97,,,bug,,,,2025-10-15 06:22:31+00:00,2025-10-23 05:17:49+00:00,https://github.com/CodeWork-ai/Depart/issues/21
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf5eYw,Issue,Depart,,Google Sign-In redirects to the wrong page (Phone Number Verification),"**Steps to Reproduce:**

Open the Link application – the Home Screen appears.

Click on the User button from the Home Screen.

Navigate to the Sign In page.

Click on the Google Sign-In button.

The app redirects to the Phone Number Verification page.

 **Actual Result:**

After clicking the Google Sign-In button, the app incorrectly navigates to the Phone Number Verification page.

****Expected Result:****

Clicking the Google Sign-In button should redirect the user directly to the Dashboard.

 Environment:

Device: Android

OS Version: 15

https://github.com/user-attachments/assets/ec882c80-e744-41ed-93c9-71ea181ea283",Roopesh618,Ganesann-Ashokkumarr,,,,,,,2025-10-15 06:35:51+00:00,2025-10-21 19:14:06+00:00,https://github.com/CodeWork-ai/Depart/issues/23
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf83n4,Issue,Depart,,Incorrectly enabled buttons on Past Booking page,"Steps to Reproduce:
Open to the platform using the  account.
Click on Booking.

Actual Result:
On the Past Booking page, the Track Now and Cancel buttons are enabled.

Expected Result:
On the Past Booking page, the Track Now and Cancel buttons should be removed from the screen.",suruthisagar97,suruthisagar97,,,bug,,,,2025-10-16 07:30:11+00:00,2025-10-23 05:43:13+00:00,https://github.com/CodeWork-ai/Depart/issues/37
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf5mTg,Issue,Depart,,Name field missing in registration form,"Steps to Reproduce:
Open to the platform using the  account.
Click on Register

Actual Result:
In the registration form, the Name column is missing.

Expected Result:
The registration form should include a Name field where the user can enter their full name before submitting the form.",Roopesh618,suruthisagar97,,,bug,,,,2025-10-15 07:22:40+00:00,2025-10-23 05:45:32+00:00,https://github.com/CodeWork-ai/Depart/issues/26
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf53mc,Issue,Depart,,Black screen appears when returning to home screen,"Steps to Reproduce:
Open to the platform using the  account.
Click on User

Actual Result:
On the home page, when switching to another screen and returning to the home screen, a black screen is displayed.

Expected Result:
The registration form should include a Name field where the user can enter their full name before submitting the form.

https://github.com/user-attachments/assets/af02dd86-c5df-447b-96a0-5fd6f3f51332",Roopesh618,suruthisagar97,,,bug,,,,2025-10-15 08:49:35+00:00,2025-10-15 08:49:35+00:00,https://github.com/CodeWork-ai/Depart/issues/27
CodeWork-ai,Depart,9,PVTI_lADOCzkvuc4A-hlozgf59hI,Issue,Depart,,Ride not created and data not cleared after clicking Confirm Ride,"Steps to Reproduce:
Open to the platform using the  account.
Click on Schedule.

Actual Result:
On the Schedule a Ride page, after providing all details and clicking the Confirm Ride button, a pop-up message is displayed, but the ride is not created and the previous data is not cleared from the screen.

Expected Result:
After providing all details and clicking the Confirm Ride button, the ride should be successfully created, a confirmation message should be displayed, and all previously entered data should be cleared from the screen.

https://github.com/user-attachments/assets/caba63d6-b845-4eea-b692-49a42c52a520",suruthisagar97,suruthisagar97,,,bug,,,,2025-10-15 09:12:16+00:00,2025-10-23 06:11:53+00:00,https://github.com/CodeWork-ai/Depart/issues/28
