organization,project_name,project_number,project_item_id,item_type,repo,issue_pr_number,task_title,task_description,assignees,assigned_by,status,priority,labels,milestone,iteration,due_date,created_at,updated_at,url
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzge4Ojw,Issue,Little-sparks,,"Check-in button enabled for previous months, records current time","Steps to Reproduce:
Log in to the platform using the center head account.
Click on Calendar.
Click on My attendance.

Actual Result:
Once checked in on the current date, the current time is recorded. When selecting a previous month, the check-in button becomes enabled, and clicking it shows the current check-in time.

Expected Result:
Once checked in on the current date, the current time is recorded. When selecting a previous month, the check-in button should be disabled.

Env: DEV

<!-- Failed to upload ""MicrosoftTeams-video (39).mp4"" -->",Maharajacodework,suruthisagar97,In Progress,Normal,bug,,,,2025-09-18 06:18:16+00:00,2025-09-18 06:18:16+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/192
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgdEAUM,Issue,Little-sparks,,Slot Booking module (Payment)- Mobile app,"Description:

Develop a slot booking system that allows users to reserve available time slots for a service or event.

- Slot Selection: Users can view available time slots for a given date and service.
- Booking Process: Users can select a time slot, provide necessary details, and confirm the booking.
- Availability Management: Admins can set and modify available slots.
- Notifications: Users receive confirmation of booking and reminders.
- Cancel/Reschedule: Users can cancel or reschedule bookings based on availability.
- Payment: Parents can see the amount per slot while booking the slot",Maharajacodework,sharonss0809,In Progress,Normal,Development,,,,2025-07-29 06:12:57+00:00,2025-08-28 05:48:09+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/44
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzge7cBQ,Issue,Little-sparks,,Search placeholder size inconsistent with Android.,"Steps to Reproduce:
Log in to the platform using the center head account.

Actual Result:
When clicking the search icon, the placeholder is smaller compared to Android.

Expected Result:
When clicking the search icon, the placeholder size should be consistent with Android.

Mobile: iOS

![Image](https://github.com/user-attachments/assets/b8d7f136-58c3-4f11-85ca-6e0731e1882a)",Maharajacodework,suruthisagar97,In Progress,Normal,bug,,,,2025-09-19 07:38:22+00:00,2025-10-09 11:07:17+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/198
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzge7bHo,Issue,Little-sparks,,White screen appears above keyboard after clicking search icon.,"Steps to Reproduce:
Log in to the platform using the center head or Parents account.

Actual Result:
When clicking the search icon, the keyboard is enabled, and a white screen is displayed above the keyboard.

Expected Result:
When clicking the search icon, the keyboard should open without displaying any white screen above it.

Mobile: iOS

![Image](https://github.com/user-attachments/assets/e89ee15c-c11d-46cd-843a-4f95194679fe)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-19 07:32:34+00:00,2025-10-09 11:04:54+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/197
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzge7Uig,Issue,Little-sparks,,Navigation not working after student selection.,"Steps to Reproduce:
Log in to the platform using the center head account.
Click on Activities.
Click on General Activities.


Actual Result:
When selecting any student and clicking the back button or swiping left or right, it does not work on the screen.

Expected Result:
After selecting a student, clicking the back button or swiping left/right should navigate back or switch screens correctly.

Mobile: iOS",Maharajacodework,suruthisagar97,In Progress,Normal,bug,,,,2025-09-19 06:48:41+00:00,2025-10-09 11:09:37+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/195
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgfALQQ,Issue,Little-sparks,,Profile header not displayed properly on screen.,"Steps to Reproduce:
Log in to the platform using the Centerhead account.
Click on Profile.

Actual Result:
When clicking on the profile, the header is not displayed properly on the screen.

Expected Result:
When clicking on the profile, the header should be displayed properly on the screen.

Mobile: iOS

![Image](https://github.com/user-attachments/assets/11e665f5-3c3c-4a85-b9b3-e535639ff216)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-22 09:18:49+00:00,2025-09-24 10:14:27+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/204
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzge7RoY,Issue,Little-sparks,,Inconsistent placeholders on login screen.,"Steps to Reproduce:
Log in to the platform using the Parents account.

Actual Result:
On the login screen, the Email and Password placeholders are not the same.

Expected Result:
On the login screen, the Email and Password placeholders should be consistent and aligned.

Mobile: iOS

![Image](https://github.com/user-attachments/assets/93eb128a-5f86-44b4-a91a-91b776732de6)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-19 06:27:18+00:00,2025-09-24 10:10:55+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/194
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgek3qs,Issue,Little-sparks,,Chat with centre head not working — text box keeps loading.,"Steps to Reproduce:
Log in to the platform using the Parents account.
Click on Connect and Click Chat.

Actual Result:
I’m unable to chat with the centre head; the text box just keeps loading.

Expected Result:
The chat with the centre head should open, and the text box should allow me to type and send messages without any loading issues.

Env: Mobile

https://github.com/user-attachments/assets/be0b47b2-01b8-479e-8f47-5d4c165ea012",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-10 09:00:52+00:00,2025-09-18 06:49:01+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/189
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeOyNA,Issue,Little-sparks,,Milestones - Mobile Application (frontend),"Milestones – Key goals that represent major achievements or deliverables.

The purpose of this structure is to clearly separate long-term objectives, recurring/general work, and daily execution, making it easier to monitor progress and stay accountable.",suruthisagar97,Keerthicodework,Dev,Normal,Development,,,,2025-09-01 10:19:57+00:00,2025-09-12 05:03:53+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/169
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeiK6s,Issue,Little-sparks,,Chat opens to a middle message instead of the latest one.,"Steps to Reproduce:
Log in to the platform using the Parents account.
Click on Connect.
Click on Chat.

Actual Result:
When I open the chat, it doesn't show the latest message; instead, it shows a message in the middle of the screen.

Expected Result:
When I open the chat, the latest message should appear, not a message from the middle of the screen.

Env: Mobile

https://github.com/user-attachments/assets/a0b97343-ff50-4f72-aa82-5c4519954b9b",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-09 11:24:02+00:00,2025-09-12 04:40:42+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/188
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeQ6wg,Issue,Little-sparks,,Feedback History (FE) - Parent (Mobile application),"When a Superadmin replies to any feedback, the reply is automatically pushed to the Parent Feedback section, ensuring that parents are aware of the updates or clarifications provided by the superadmin.

This keeps parents in the loop, making sure they are aware of any follow-ups or steps taken to address their concerns.",suruthisagar97,Keerthicodework,Dev,Normal,Development,,,,2025-09-02 07:43:28+00:00,2025-09-12 04:33:17+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/171
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeePTs,Issue,Little-sparks,,Text overlap in No Attendance Records screen,"Steps to Reproduce:
Log in to the platform using the Parents account.
Click on Calendar.
Click on My Attendance.

Actual Result:
Clicking the previous month on the calendar without selecting a date in the ‘No Attendance Records’ screen causes overlapping between two texts.

Expected Result:
The calendar should display the previous month correctly without any overlapping text, even if no date is selected.
Env: Dev

![Image](https://github.com/user-attachments/assets/4b1b8e5a-586b-4472-956b-fc25bcd5d3b3)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-08 07:19:54+00:00,2025-09-10 07:31:42+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/180
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeZwqE,Issue,Little-sparks,,Student name not displaying correctly when viewing attendance,"Steps to Reproduce:

Log in to the Centerhead platform.
Click on Calendar.
Click on Students Attendance.

Actual Result:
When selecting a student to display attendance, the student's name does not appear properly on the screen.

Expected Result:
When selecting a student to display attendance, the student’s name should be displayed properly on the screen.

![Image](https://github.com/user-attachments/assets/99c8feaa-2be5-4133-90a2-716c8db24434)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-09-05 06:26:15+00:00,2025-09-10 05:18:58+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/178
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeBwbE,Issue,Little-sparks,,Feed shows as unliked when multiple users like the same feed,"Steps to Reproduce:
Log in to the platform using the Center head & Parents account.

Actual Result:
In the Feeds page, if one person likes a feed and another person also likes the same feed, it is shown as unliked.

Expected Result:
Unlike the feed appears liked again after navigating back to the Feeds page

Env:DEV",,suruthisagar97,Backlog,Normal,bug,,,,2025-08-26 09:02:35+00:00,2025-09-04 05:23:41+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/154
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgd31Mg,Issue,Little-sparks,,Inconsistent loading across application screens,"Steps to Reproduce:
Log in to the platform using the Center head & Parents account.


Actual Result:
In the application, the loading is not consistent across all screens.

Expected Result:
The application should have consistent loading behaviour across all screens.

Env: Dev",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-08-21 09:30:59+00:00,2025-09-03 05:33:49+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/146
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgd6uYc,Issue,Little-sparks,,Feeds page not displaying properly from Dashboard 'View More',"Steps to Reproduce:
Log in to the platform using the Parent account.

Actual Result:
On the Dashboard page, clicking 'View More' under Latest Updates redirects to the Feeds page, but the screen does not display properly.

Expected Result:
On the Dashboard page, when clicking 'View More' under Latest Updates, the user should be redirected to the Feeds page, and the screen should display properly.

Env: Dev

<img width=""359"" height=""800"" alt=""Image"" src=""https://github.com/user-attachments/assets/468b2cc9-e022-4265-acf9-d976de8971ff"" />",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-08-22 10:19:37+00:00,2025-08-26 06:49:44+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/150
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgd3TK8,Issue,Little-sparks,,Feed page not responsive with feeds,"Steps to Reproduce:

Log in to the Parents platform.
Click on Connect.
Click on Feed.

Actual Result:
In the Feed pages, the latest feeds are displayed, but the screen does not respond properly.

Expected Result:
The latest feeds should display correctly, and the screen should respond properly.

![Image](https://github.com/user-attachments/assets/75d20bda-e32e-47cb-a5f0-d25d0cff6f31)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-08-21 06:02:23+00:00,2025-08-26 09:10:53+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/133
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgd-j9w,Issue,Little-sparks,,Like counts show as zero on Home screen Latest Posts,"Steps to Reproduce:
Log in to the platform using the Parents account.

Actual Result:
On the Home screen, the Latest Posts display shows the like counts as zero, but on the feed page the like counts are displayed correctly.

Expected Result:
The like counts should be displayed correctly on the Home screen Latest Posts, the same as on the feed page.


![Image](https://github.com/user-attachments/assets/d64b0019-7670-471d-a6fe-6fbe408de435)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-08-25 07:35:04+00:00,2025-09-01 07:10:16+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/152
CodeWork-ai,Little sparks,8,PVTI_lADOCzkvuc4A-bcMzgeCBqE,Issue,Little-sparks,,Error message displayed on all fields when mobile internet is off,"Steps to Reproduce:
Log in to the platform using the Center head & Parents account.

Actual Result:
If mobile internet is off when opening the application, an error message is shown on all fields.

Expected Result:
When mobile internet is off and the application is opened, a single error message should be displayed instead of showing errors in all fields.

![Image](https://github.com/user-attachments/assets/565be7a2-8cff-4ba3-ae87-34ce91815890)",suruthisagar97,suruthisagar97,Dev,Normal,bug,,,,2025-08-26 10:44:07+00:00,2025-09-03 05:24:11+00:00,https://github.com/CodeWork-ai/Little-sparks/issues/160
