organization,project_name,project_number,project_item_id,item_type,repo,issue_pr_number,task_title,task_description,assignees,assigned_by,status,priority,labels,milestone,iteration,due_date,created_at,updated_at,url
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgee6eE,Issue,E-book,,Home Page - Admin (Add & Delete user) FE,"Create front end page for Add and delete user in the Admin Dashboard. 

https://www.figma.com/design/mmiCht93B6OXbsSqgp5HF7/Ebook?node-id=0-1&p=f&t=BIajGxZEt3QGW821-0",suruthisagar97,Keerthicodework,QA testing,Normal,,,,,2025-09-08 10:49:18+00:00,2025-10-08 05:33:05+00:00,https://github.com/CodeWork-ai/E-book/issues/10
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgfRhGI,Issue,E-book,,"Display user details under ""User Accounts"" on the Users page in the Admin panel","Steps to Reproduce:
Log in to the platform using the User account.
Click on Profile.
Click on Users.

Actual Result:
On the Users page in the Admin panel, the list of user details should be displayed under User Accounts.

Expected Result:
On the Users page in the Admin panel, the list of user details is not displayed under User Accounts.

Env: DEV

https://github.com/user-attachments/assets/2a543ca8-dfa6-4fea-864d-bafd26697992",suruthisagar97,suruthisagar97,QA testing,Normal,bug,,,,2025-09-29 11:46:49+00:00,2025-10-08 05:04:24+00:00,https://github.com/CodeWork-ai/E-book/issues/26
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgehuvc,Issue,E-book,,Create Login (Sign-in functionality) for Admin - Back end,"Develop the backend for Admin login functionality. The goal is to authenticate the Admin using their username and password, and return a secure token if credentials are valid.


https://www.figma.com/design/mmiCht93B6OXbsSqgp5HF7/Ebook?node-id=0-1&p=f&t=UjMlywFptgVx1fXs-0",sindhuja-S31,Keerthicodework,Done,Normal,,,,,2025-09-09 08:53:15+00:00,2025-09-09 10:24:47+00:00,https://github.com/CodeWork-ai/E-book/issues/14
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgenfDY,Issue,E-book,,PDF Summarization - Backend (User),,sindhuja-S31,Keerthicodework,Done,Normal,,,,,2025-09-11 06:34:20+00:00,2025-09-11 06:34:20+00:00,https://github.com/CodeWork-ai/E-book/issues/16
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgehvh4,Issue,E-book,,Create Login (Sign-in functionality) for User - Back end,"Develop the backend for user login functionality. The goal is to authenticate the Admin using their username and password, and return a secure token if credentials are valid.",sindhuja-S31,Keerthicodework,Done,Normal,,,,,2025-09-09 08:57:03+00:00,2025-10-07 05:22:11+00:00,https://github.com/CodeWork-ai/E-book/issues/15
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgee2Mg,Issue,E-book,,Login screen and Authentication  - Front end,Create Login screen and Authentication for both User and Admin.,suruthisagar97,Keerthicodework,QA testing,Normal,,,,,2025-09-08 10:23:02+00:00,2025-10-14 07:08:14+00:00,https://github.com/CodeWork-ai/E-book/issues/6
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgee2rU,Issue,E-book,,Home page for Admin - Front end,"Create Home page for Admin. 

Kindly refer to figma design. 

https://www.figma.com/design/mmiCht93B6OXbsSqgp5HF7/Ebook?node-id=0-1&p=f&t=BIajGxZEt3QGW821-0",suruthisagar97,Keerthicodework,QA testing,Normal,,,,,2025-09-08 10:26:00+00:00,2025-10-14 07:10:31+00:00,https://github.com/CodeWork-ai/E-book/issues/8
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgee2Yk,Issue,E-book,,Home Page for User - Front end,"Create Home page screen for User. 

Kindly refer figma design. 

https://www.figma.com/design/mmiCht93B6OXbsSqgp5HF7/Ebook?node-id=0-1&p=f&t=BIajGxZEt3QGW821-0",suruthisagar97,Keerthicodework,QA testing,Normal,,,,,2025-09-08 10:24:12+00:00,2025-10-14 07:12:02+00:00,https://github.com/CodeWork-ai/E-book/issues/7
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgee3H0,Issue,E-book,,PDF View port - Front end,"Create a toggle option for the flip and scroll . 

Kindly refer to the figma design

https://www.figma.com/design/mmiCht93B6OXbsSqgp5HF7/Ebook?node-id=0-1&p=f&t=BIajGxZEt3QGW821-0",suruthisagar97,Keerthicodework,QA testing,Normal,,,,,2025-09-08 10:28:37+00:00,2025-10-14 07:13:50+00:00,https://github.com/CodeWork-ai/E-book/issues/9
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgcyKuk,Issue,E-book,,PDF Summarization,Create Smart summarization for Legislative document- PDF,PavithraA-Codework,Keerthicodework,Done,Normal,enhancement,,,,2025-07-21 08:54:36+00:00,2025-07-21 08:55:15+00:00,https://github.com/CodeWork-ai/E-book/issues/1
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgeOy38,Issue,E-book,,Text extraction and cleaning (Pre processing using sample PDF),"Implement text extraction from sample PDF(s).

Perform text cleaning and normalization (remove special characters, stop words, line breaks, etc.).

Handle edge cases such as headers, footers, tables, and hyphenated words.

Output a processed text dataset ready for further AI tasks (NLP, embeddings, model training).",PavithraA-Codework,Keerthicodework,Done,Normal,enhancement,,,,2025-09-01 10:24:27+00:00,2025-09-01 10:24:27+00:00,https://github.com/CodeWork-ai/E-book/issues/4
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgcyN-U,Issue,E-book,,RAG - Chatbot,Create a RAG based chatbot that provides contextual answers based on the legislative document PDFs.,Nitishcode213,Keerthicodework,Done,Normal,documentation,,,,2025-07-21 09:11:32+00:00,2025-07-21 09:13:04+00:00,https://github.com/CodeWork-ai/E-book/issues/2
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgehYMQ,Issue,E-book,,Chroma DB set-up,Need to set up the chroma DB,PavithraA-Codework,Keerthicodework,Done,Normal,enhancement,,,,2025-09-09 06:58:34+00:00,2025-09-09 06:58:34+00:00,https://github.com/CodeWork-ai/E-book/issues/13
CodeWork-ai,E- book,6,PVTI_lADOCzkvuc4A-a3pzgehYGE,Issue,E-book,,Handling LLM context,,PavithraA-Codework,Keerthicodework,Done,Normal,,,,,2025-09-09 06:57:56+00:00,2025-09-09 06:57:56+00:00,https://github.com/CodeWork-ai/E-book/issues/12
